gauge,unit_weight
0.008,1.609E-05
0.0085,1.709E-05
0.009,1.81E-05
0.0095,2.159E-05
0.01,2.27E-05
0.0105,2.5E-05
0.011,2.95E-05
0.0115,3.08E-05
0.012,3.4E-05
0.0125,3.54E-05
0.013,3.86E-05
0.0135,4.008E-05
0.014,4.77E-05
0.015,5.28E-05
0.016,5.9E-05
0.017,6.81E-05
0.018,7.27E-05
0.019,7.72E-05
0.02,8.41E-05
0.021,9.32E-05
0.022,0.0001159
0.024,0.0001432
0.026,0.0001568
