gauge,unit_weight
0.02,7.812E-05
0.022,9.784E-05
0.024,0.00011601
0.026,0.00013574
0.028,0.00014683
0.03,0.00016958
0.032,0.00019233
0.035,0.00024197
0.038,0.0002652
0.04,0.00031676
0.042,0.00034377
0.045,0.00040393
0.048,0.00043541
0.05,0.00047042
0.052,0.00049667
0.056,0.00059075
