gauge,unit_weight
0.028,0.00016859
0.045,0.000361
0.055,0.00059573
0.06,0.00072062
0.065,0.00078579
0.07,0.00096566
0.075,0.00106341
0.08,0.00123933
0.085,0.00141525
0.09,0.00157079
0.095,0.00180706
0.105,0.00203172
0.126,0.00301768
