gauge,unit_weight
0.007,1.085E-05
0.008,1.418E-05
0.0085,1.601E-05
0.009,1.794E-05
0.0095,1.999E-05
0.01,2.215E-05
0.0105,2.442E-05
0.011,2.68E-05
0.0115,2.93E-05
0.012,3.19E-05
0.013,3.744E-05
0.0135,4.037E-05
0.014,4.342E-05
0.015,4.984E-05
0.016,5.671E-05
0.017,6.402E-05
0.018,7.177E-05
0.019,7.997E-05
0.02,8.861E-05
0.022,0.00010722
0.024,0.0001276
0.026,0.00014975
