gauge,unit_weight
0.04,0.00032716
0.045,0.00039763
0.05,0.00047855
0.055,0.00056769
0.06,0.00070108
0.065,0.00080655
0.07,0.00093374
0.075,0.00100553
0.08,0.00120719
0.085,0.00138675
0.09,0.00148896
0.095,0.00173288
0.1,0.00189041
0.105,0.00204302
0.11,0.00226455
0.132,0.00314193
