gauge,unit_weight
0.018,7.394E-05
0.02,8.506E-05
0.022,9.971E-05
0.024,0.0001247
0.026,0.0001556
0.028,0.0001644
0.03,0.0002062
0.032,0.0002139
0.034,0.0002431
0.036,0.0002611
0.038,0.0002931
0.04,0.0003146
0.042,0.000359
0.044,0.0003868
0.046,0.0003987
0.048,0.0004716
0.05,0.0005005
0.052,0.0005105
0.054,0.0006116
0.056,0.0006283
0.058,0.000648
