gauge,unit_weight
0.028,0.00015493
0.03,0.00018203
0.032,0.00020398
0.034,0.00022729
0.036,0.00025198
0.038,0.00027804
0.04,0.00031044
0.042,0.00033924
0.046,0.00040096
0.048,0.00043387
0.05,0.00046816
0.052,0.00050382
0.054,0.00056388
0.056,0.00060297
