gauge,unit_weight
0.016,6.89E-05
0.018,7.82E-05
0.02,8.93E-05
0.022,9.91E-05
0.024,0.0001018
0.026,0.000124
0.028,0.0001283
0.03,0.0001634
0.032,0.0001896
0.033,0.00022702
0.034,0.0002339
0.036,0.0002365
0.038,0.0002655
0.04,0.0003076
0.042,0.0003122
0.043,0.00031963
0.044,0.0003215
0.046,0.0003806
0.048,0.0004052
0.05,0.0004709
0.052,0.0004788
0.053,0.00048801
0.054,0.000492
